encounter_id,olympedia_result_id,olympedia_match_id,edition,edition_id,year,city,venue_location,sport,event,gender,encounter_type,round_raw,group_raw,stage_raw,stage_normalized,match_date_raw,usa_participant,usa_participant_raw,usa_athlete_id,ussr_participant,ussr_participant_raw,ussr_athlete_id,result_raw,score_raw,score_usa_first,usa_score,ussr_score,winner,outcome_class,winner_method,counts_for_pulse,source_url,match_source_url,source_local_file
olympedia-22962,22960,22962,1956 Summer Olympics,14,1956,Melbourne,"West Melbourne Stadium, Melbourne, Victoria",Boxing,"Heavyweight, Men",Men,individual,Final Round,,Final Round,Final,01 Dec,Pete Rademacher,Pete Rademacher,8749,Lev Mukhin,Lev Mukhin,8521,Referee stops contest,Referee stops contest,,,,USA,USA_WIN,first_competitor_result,True,https://www.olympedia.org/results/22960,https://www.olympedia.org/results/22962,22960.html
olympedia-22949,22945,22949,1956 Summer Olympics,14,1956,Melbourne,"West Melbourne Stadium, Melbourne, Victoria",Boxing,"Light-Heavyweight, Men",Men,individual,Semi-Finals,,Semi-Finals,Semi-final,30 Nov,Jim Boyd,Jim Boyd,8626,Romualdas Murauskas,Romualdas Murauskas,8522,Decision,Decision,,,,USA,USA_WIN,first_competitor_result,True,https://www.olympedia.org/results/22945,https://www.olympedia.org/results/22949,22945.html
olympedia-922116,86748,922116,1956 Summer Olympics,14,1956,Melbourne,"Town Hall, St. Kilda, Victoria",Fencing,"Foil, Individual, Men",Men,individual,Round One,Pool #1,Round One / Pool #1,Round 1 / Pool 1,26 Nov,Hal Goldsmith,Hal Goldsmith,23712,Yury Rudov,Yury Rudov,23598,5 – 2,5 – 2,2 – 5,2,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/86748,https://www.olympedia.org/results/922116,86748.html
olympedia-922138,86748,922138,1956 Summer Olympics,14,1956,Melbourne,"Town Hall, St. Kilda, Victoria",Fencing,"Foil, Individual, Men",Men,individual,Round One,Pool #2,Round One / Pool #2,Round 1 / Pool 2,26 Nov,Albie Axelrod,Albie Axelrod,23652,Iuri Osip'ovi,Iuri Osip'ovi,23589,5 – 3,5 – 3,3 – 5,3,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/86748,https://www.olympedia.org/results/922138,86748.html
olympedia-922072,86748,922072,1956 Summer Olympics,14,1956,Melbourne,"Town Hall, St. Kilda, Victoria",Fencing,"Foil, Individual, Men",Men,individual,Semi-Finals,Pool #1,Semi-Finals / Pool #1,Semi-final,26 Nov,Albie Axelrod,Albie Axelrod,23652,Mark Midler,Mark Midler,23583,5 – 2,5 – 2,2 – 5,2,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/86748,https://www.olympedia.org/results/922072,86748.html
olympedia-922073,86748,922073,1956 Summer Olympics,14,1956,Melbourne,"Town Hall, St. Kilda, Victoria",Fencing,"Foil, Individual, Men",Men,individual,Semi-Finals,Pool #1,Semi-Finals / Pool #1,Semi-final,26 Nov,Albie Axelrod,Albie Axelrod,23652,Yury Rudov,Yury Rudov,23598,5 – 4,5 – 4,4 – 5,4,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/86748,https://www.olympedia.org/results/922073,86748.html
olympedia-922546,86883,922546,1956 Summer Olympics,14,1956,Melbourne,"Town Hall, St. Kilda, Victoria",Fencing,"Foil, Individual, Women",Women,individual,Round One,Pool #1,Round One / Pool #1,Round 1 / Pool 1,29 Nov,Maxine Mitchell,Maxine Mitchell,21009,Emma Yefimova,Emma Yefimova,20965,4 – 1,4 – 1,1 – 4,1,4,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/86883,https://www.olympedia.org/results/922546,86883.html
olympedia-922577,86883,922577,1956 Summer Olympics,14,1956,Melbourne,"Town Hall, St. Kilda, Victoria",Fencing,"Foil, Individual, Women",Women,individual,Round One,Pool #2,Round One / Pool #2,Round 1 / Pool 2,29 Nov,Jan Romary,Jan Romary,21021,Nadezhda Shitikova,Nadezhda Shitikova,20977,4 – 2,4 – 2,4 – 2,4,2,USA,USA_WIN,numeric_score,True,https://www.olympedia.org/results/86883,https://www.olympedia.org/results/922577,86883.html
olympedia-922609,86883,922609,1956 Summer Olympics,14,1956,Melbourne,"Town Hall, St. Kilda, Victoria",Fencing,"Foil, Individual, Women",Women,individual,Round One,Pool #3,Round One / Pool #3,Round 1 / Pool 3,29 Nov,Judy Goodrich,Judy Goodrich,21001,Valentina Rastvorova,Valentina Rastvorova,20973,4 – 1,4 – 1,1 – 4,1,4,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/86883,https://www.olympedia.org/results/922609,86883.html
olympedia-922529,86883,922529,1956 Summer Olympics,14,1956,Melbourne,"Town Hall, St. Kilda, Victoria",Fencing,"Foil, Individual, Women",Women,individual,Semi-Finals,Pool #1,Semi-Finals / Pool #1,Semi-final,29 Nov,Maxine Mitchell,Maxine Mitchell,21009,Emma Yefimova,Emma Yefimova,20965,4 – 0,4 – 0,0 – 4,0,4,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/86883,https://www.olympedia.org/results/922529,86883.html
olympedia-86793,86781,86793,1956 Summer Olympics,14,1956,Melbourne,"Town Hall, St. Kilda, Victoria",Fencing,"Sabre, Individual, Men",Men,individual,Quarter-Finals,"Pool #4, Barrage 3-5","Quarter-Finals / Pool #4, Barrage 3-5",Quarter-final,05 Dec,George Worth,George Worth,23822,Lev Kuznetsov,Lev Kuznetsov,23576,1 – 1,1 – 1,1 – 1,1,1,DRAW,DRAW,numeric_score,True,https://www.olympedia.org/results/86781,https://www.olympedia.org/results/86793,86781.html
olympedia-922349,86762,922349,1956 Summer Olympics,14,1956,Melbourne,"Town Hall, St. Kilda, Victoria",Fencing,"Épée, Individual, Men",Men,individual,Quarter-Finals,Pool #2,Quarter-Finals / Pool #2,Quarter-final,30 Nov,Kin Hoitsma,Kin Hoitsma,23719,Arnold Chernushevich,Arnold Chernushevich,23612,5 – 3,5 – 3,5 – 3,5,3,USA,USA_WIN,numeric_score,True,https://www.olympedia.org/results/86762,https://www.olympedia.org/results/922349,86762.html
olympedia-922400,86762,922400,1956 Summer Olympics,14,1956,Melbourne,"Town Hall, St. Kilda, Victoria",Fencing,"Épée, Individual, Men",Men,individual,Round One,Pool #1,Round One / Pool #1,Round 1 / Pool 1,30 Nov,Skip Shurtz,Skip Shurtz,23797,Arnold Chernushevich,Arnold Chernushevich,23612,5 – 3,5 – 3,3 – 5,3,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/86762,https://www.olympedia.org/results/922400,86762.html
olympedia-922474,86762,922474,1956 Summer Olympics,14,1956,Melbourne,"Town Hall, St. Kilda, Victoria",Fencing,"Épée, Individual, Men",Men,individual,Round One,Pool #4,Round One / Pool #4,Round 1 / Pool 4,30 Nov,Kin Hoitsma,Kin Hoitsma,23719,Juozas Udras,Juozas Udras,23618,5 – 3,5 – 3,5 – 3,5,3,USA,USA_WIN,numeric_score,True,https://www.olympedia.org/results/86762,https://www.olympedia.org/results/922474,86762.html
olympedia-38313,38305,38313,1956 Summer Olympics,14,1956,Melbourne,"Olympic Park Swimming and Diving Stadium, Melbourne, Victoria",Water Polo,"Water Polo, Men",Men,team,Final Round,,Final Round,Final,05 Dec 16:40,United States,United States,,Soviet Union,Soviet Union,,3 – 1,3 – 1,1 – 3,1,3,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/38305,https://www.olympedia.org/results/38313,38305.html
olympedia-123768,123743,123768,1956 Summer Olympics,14,1956,Melbourne,"Royal Exhibition Building, Melbourne, Victoria",Wrestling,"Flyweight, Freestyle, Men",Men,individual,Round One,,Round One,Round 1,28 Nov,Dick Delgado,Dick Delgado,60609,Mirian Tsalkalamanidze,Mirian Tsalkalamanidze,60550,Decision (3-0),Decision (3-0),,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/123743,https://www.olympedia.org/results/123768,123743.html
olympedia-123939,123936,123939,1956 Summer Olympics,14,1956,Melbourne,"Royal Exhibition Building, Melbourne, Victoria",Wrestling,"Light-Heavyweight, Freestyle, Men",Men,individual,Round Six,,Round Six,Round Six,01 Dec,Pete Blair,Pete Blair,60576,Boris Kulayev,Boris Kulayev,60497,Decision (3-0),Decision (3-0),,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/123936,https://www.olympedia.org/results/123939,123936.html
olympedia-123902,123901,123902,1956 Summer Olympics,14,1956,Melbourne,"Royal Exhibition Building, Melbourne, Victoria",Wrestling,"Middleweight, Freestyle, Men",Men,individual,Final Round,,Final Round,Final,01 Dec,Dan Hodge,Dan Hodge,60662,Giorgi Skhirt'ladze,Giorgi Skhirt'ladze,60539,Fall (11:00),Fall (11:00),,,,USA,USA_WIN,first_competitor_result,True,https://www.olympedia.org/results/123901,https://www.olympedia.org/results/123902,123901.html
olympedia-32134,32115,32134,1960 Summer Olympics,15,1960,Rome,"Palazzetto dello Sport, Roma / Palazzo dello Sport, Roma",Basketball,"Basketball, Men",Men,team,Group B,,Group B,Group B,03 Sep 23:00,United States,United States,,Soviet Union,Soviet Union,,81 – 57,81 – 57,81 – 57,81,57,USA,USA_WIN,numeric_score,True,https://www.olympedia.org/results/32115,https://www.olympedia.org/results/32134,32115.html
olympedia-23086,23053,23086,1960 Summer Olympics,15,1960,Rome,"Palazzo dello Sport, Roma",Boxing,"Featherweight, Men",Men,individual,Round One,,Round One,Round 1,26 Aug,Nick Spanakos,Nick Spanakos,8774,Boris Nikonorov,Boris Nikonorov,8525,Decision,Decision,,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/23053,https://www.olympedia.org/results/23086,23053.html
olympedia-23273,23266,23273,1960 Summer Olympics,15,1960,Rome,"Palazzo dello Sport, Roma",Boxing,"Light-Heavyweight, Men",Men,individual,Quarter-Finals,,Quarter-Finals,Quarter-final,01 Sep,Cassius Clay,Cassius Clay,8643,Gennady Shatkov,Gennady Shatkov,8544,Decision,Decision,,,,USA,USA_WIN,first_competitor_result,True,https://www.olympedia.org/results/23266,https://www.olympedia.org/results/23273,23266.html
olympedia-23212,23208,23212,1960 Summer Olympics,15,1960,Rome,"Palazzo dello Sport, Roma",Boxing,"Light-Middleweight, Men",Men,individual,Semi-Finals,,Semi-Finals,Semi-final,03 Sep,Wilbert McClure,Wilbert McClure,8728,Boris Lagutin,Boris Lagutin,8514,Decision,Decision,,,,USA,USA_WIN,first_competitor_result,True,https://www.olympedia.org/results/23208,https://www.olympedia.org/results/23212,23208.html
olympedia-86898,86895,86898,1960 Summer Olympics,15,1960,Rome,"Palazzo dei Congressi, Roma",Fencing,"Foil, Individual, Men",Men,individual,Final Pool,,Final Pool,Final pool,30 Aug,Albie Axelrod,Albie Axelrod,23652,Viktor Zhdanovich,Viktor Zhdanovich,23604,5 – 2,5 – 2,2 – 5,2,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/86895,https://www.olympedia.org/results/86898,86895.html
olympedia-86904,86895,86904,1960 Summer Olympics,15,1960,Rome,"Palazzo dei Congressi, Roma",Fencing,"Foil, Individual, Men",Men,individual,Final Pool,,Final Pool,Final pool,30 Aug,Albie Axelrod,Albie Axelrod,23652,Yury Sisikin,Yury Sisikin,23602,5 – 2,5 – 2,2 – 5,2,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/86895,https://www.olympedia.org/results/86904,86895.html
olympedia-86910,86895,86910,1960 Summer Olympics,15,1960,Rome,"Palazzo dei Congressi, Roma",Fencing,"Foil, Individual, Men",Men,individual,Final Pool,,Final Pool,Final pool,30 Aug,Albie Axelrod,Albie Axelrod,23652,Mark Midler,Mark Midler,23583,5 – 2,5 – 2,5 – 2,5,2,USA,USA_WIN,numeric_score,True,https://www.olympedia.org/results/86895,https://www.olympedia.org/results/86910,86895.html
olympedia-86992,86895,86992,1960 Summer Olympics,15,1960,Rome,"Palazzo dei Congressi, Roma",Fencing,"Foil, Individual, Men",Men,individual,Quarter-Finals,Pool #2,Quarter-Finals / Pool #2,Quarter-final,30 Aug,Gene Glazer,Gene Glazer,23710,Mark Midler,Mark Midler,23583,5 – 1,5 – 1,1 – 5,1,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/86895,https://www.olympedia.org/results/86992,86895.html
olympedia-87156,86895,87156,1960 Summer Olympics,15,1960,Rome,"Palazzo dei Congressi, Roma",Fencing,"Foil, Individual, Men",Men,individual,Round One,Pool #1,Round One / Pool #1,Round 1 / Pool 1,29 Aug,"Joseph Paletta, Jr.","Joseph Paletta, Jr.",23775,Mark Midler,Mark Midler,23583,5 – 4,5 – 4,5 – 4,5,4,USA,USA_WIN,numeric_score,True,https://www.olympedia.org/results/86895,https://www.olympedia.org/results/87156,86895.html
olympedia-87083,86895,87083,1960 Summer Olympics,15,1960,Rome,"Palazzo dei Congressi, Roma",Fencing,"Foil, Individual, Men",Men,individual,Round Two,Pool #3,Round Two / Pool #3,Round 2 / Pool 3,29 Aug,"Joseph Paletta, Jr.","Joseph Paletta, Jr.",23775,Viktor Zhdanovich,Viktor Zhdanovich,23604,5 – 0,5 – 0,0 – 5,0,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/86895,https://www.olympedia.org/results/87083,86895.html
olympedia-86937,86895,86937,1960 Summer Olympics,15,1960,Rome,"Palazzo dei Congressi, Roma",Fencing,"Foil, Individual, Men",Men,individual,Semi-Finals,Pool #1,Semi-Finals / Pool #1,Semi-final,30 Aug,Albie Axelrod,Albie Axelrod,23652,Viktor Zhdanovich,Viktor Zhdanovich,23604,5 – 3,5 – 3,3 – 5,3,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/86895,https://www.olympedia.org/results/86937,86895.html
olympedia-90092,89864,90092,1960 Summer Olympics,15,1960,Rome,"Palazzo dei Congressi, Roma",Fencing,"Foil, Individual, Women",Women,individual,Round One,Pool #5,Round One / Pool #5,Round 1 / Pool 5,31 Aug,Evelyn Terhune,Evelyn Terhune,21018,Valentina Rastvorova,Valentina Rastvorova,20973,4 – 2,4 – 2,2 – 4,2,4,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/89864,https://www.olympedia.org/results/90092,89864.html
olympedia-90161,89864,90161,1960 Summer Olympics,15,1960,Rome,"Palazzo dei Congressi, Roma",Fencing,"Foil, Individual, Women",Women,individual,Round One,Pool #9,Round One / Pool #9,Round 1 / Pool 9,31 Aug,Harriet King,Harriet King,21004,Aleksandra Zabelina,Aleksandra Zabelina,20983,4 – 1,4 – 1,1 – 4,1,4,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/89864,https://www.olympedia.org/results/90161,89864.html
olympedia-87965,87876,87965,1960 Summer Olympics,15,1960,Rome,"Palazzo dei Congressi, Roma",Fencing,"Sabre, Individual, Men",Men,individual,Quarter-Finals,Pool #1,Quarter-Finals / Pool #1,Quarter-final,08 Sep,Allan Kwartler,Allan Kwartler,23732,David Tyshler,David Tyshler,23614,5 – 0,5 – 0,0 – 5,0,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/87876,https://www.olympedia.org/results/87965,87876.html
olympedia-87973,87876,87973,1960 Summer Olympics,15,1960,Rome,"Palazzo dei Congressi, Roma",Fencing,"Sabre, Individual, Men",Men,individual,Quarter-Finals,Pool #2,Quarter-Finals / Pool #2,Quarter-final,08 Sep,Alfonso Morales,Alfonso Morales,23761,Yakov Rylsky,Yakov Rylsky,23600,5 – 2,5 – 2,2 – 5,2,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/87876,https://www.olympedia.org/results/87973,87876.html
olympedia-88103,87876,88103,1960 Summer Olympics,15,1960,Rome,"Palazzo dei Congressi, Roma",Fencing,"Sabre, Individual, Men",Men,individual,Round Two,Pool #6,Round Two / Pool #6,Round 2 / Pool 6,07 Sep,Allan Kwartler,Allan Kwartler,23732,David Tyshler,David Tyshler,23614,5 – 1,5 – 1,1 – 5,1,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/87876,https://www.olympedia.org/results/88103,87876.html
olympedia-124257,124250,124257,1960 Summer Olympics,15,1960,Rome,"Basilica di Massenzio, Roma",Wrestling,"Bantamweight, Freestyle, Men",Men,individual,Round Five,,Round Five,Round Five,06 Sep,Terry McCann,Terry McCann,60705,Mikhail Shakhov,Mikhail Shakhov,60535,Fall (0:48),Fall (0:48),,,,USA,USA_WIN,first_competitor_result,True,https://www.olympedia.org/results/124250,https://www.olympedia.org/results/124257,124250.html
olympedia-124220,124208,124220,1960 Summer Olympics,15,1960,Rome,"Basilica di Massenzio, Roma",Wrestling,"Flyweight, Freestyle, Men",Men,individual,Round Four,,Round Four,Round 4,05 Sep,Gray Simons,Gray Simons,60762,Ali Aliyev,Ali Aliyev,60442,Decision,Decision,,,,USA,USA_WIN,first_competitor_result,True,https://www.olympedia.org/results/124208,https://www.olympedia.org/results/124220,124208.html
olympedia-124588,124567,124588,1960 Summer Olympics,15,1960,Rome,"Basilica di Massenzio, Roma",Wrestling,"Flyweight, Greco-Roman, Men",Men,individual,Round Two,,Round Two,Round 2,27 Aug,Dick Wilson,Dick Wilson,60798,Ivan Kochergin,Ivan Kochergin,60494,Draw,Draw,,,,DRAW,DRAW,explicit_draw,True,https://www.olympedia.org/results/124567,https://www.olympedia.org/results/124588,124567.html
olympedia-124491,124486,124491,1960 Summer Olympics,15,1960,Rome,"Basilica di Massenzio, Roma",Wrestling,"Light-Heavyweight, Freestyle, Men",Men,individual,Round Five,,Round Five,Round Five,06 Sep,Dan Brand,Dan Brand,60581,Anatoly Albul,Anatoly Albul,60441,Decision,Decision,,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/124486,https://www.olympedia.org/results/124491,124486.html
olympedia-124904,124873,124904,1960 Summer Olympics,15,1960,Rome,"Basilica di Massenzio, Roma",Wrestling,"Light-Heavyweight, Greco-Roman, Men",Men,individual,Round One,,Round One,Round 1,26 Aug,Howard George,Howard George,60639,Givi K'art'ozia,Givi K'art'ozia,60484,Decision,Decision,,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/124873,https://www.olympedia.org/results/124904,124873.html
olympedia-124360,124345,124360,1960 Summer Olympics,15,1960,Rome,"Basilica di Massenzio, Roma",Wrestling,"Lightweight, Freestyle, Men",Men,individual,Round Four,,Round Four,Round 4,05 Sep,Shelby Wilson,Shelby Wilson,60799,Vladimir Sinyavsky,Vladimir Sinyavsky,60533,Decision,Decision,,,,USA,USA_WIN,first_competitor_result,True,https://www.olympedia.org/results/124345,https://www.olympedia.org/results/124360,124345.html
olympedia-124739,124713,124739,1960 Summer Olympics,15,1960,Rome,"Basilica di Massenzio, Roma",Wrestling,"Lightweight, Greco-Roman, Men",Men,individual,Round Two,,Round Two,Round 2,27 Aug,Ben Northrup,Ben Northrup,60726,Avtandil Koridze,Avtandil Koridze,60492,Decision,Decision,,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/124713,https://www.olympedia.org/results/124739,124713.html
olympedia-124463,124446,124463,1960 Summer Olympics,15,1960,Rome,"Basilica di Massenzio, Roma",Wrestling,"Middleweight, Freestyle, Men",Men,individual,Round Three,,Round Three,Round 3,03 Sep,Ed DeWitt,Ed DeWitt,60610,Giorgi Skhirt'ladze,Giorgi Skhirt'ladze,60539,Decision,Decision,,,,USA,USA_WIN,first_competitor_result,True,https://www.olympedia.org/results/124446,https://www.olympedia.org/results/124463,124446.html
olympedia-32189,32187,32189,1964 Summer Olympics,16,1964,Tokyo,"Kokuritsu Yoyogi Kyogijo (Annex), Shibuya, Tokyo",Basketball,"Basketball, Men",Men,team,Final Round,,Final Round,Final,23 Oct 20:00,United States,United States,,Soviet Union,Soviet Union,,73 – 59,73 – 59,73 – 59,73,59,USA,USA_WIN,numeric_score,True,https://www.olympedia.org/results/32187,https://www.olympedia.org/results/32189,32187.html
olympedia-23619,23614,23619,1964 Summer Olympics,16,1964,Tokyo,"Korakuen Horu, Bunkyo, Tokyo",Boxing,"Heavyweight, Men",Men,individual,Semi-Finals,,Semi-Finals,Semi-final,21 Oct,Joe Frazier,Joe Frazier,8671,Vadim Yemelyanov,Vadim Yemelyanov,8489,Referee stops contest,Referee stops contest,,,,USA,USA_WIN,first_competitor_result,True,https://www.olympedia.org/results/23614,https://www.olympedia.org/results/23619,23614.html
olympedia-23609,23590,23609,1964 Summer Olympics,16,1964,Tokyo,"Korakuen Horu, Bunkyo, Tokyo",Boxing,"Light-Heavyweight, Men",Men,individual,Round Two,,Round Two,Round 2,17 Oct,Bob Christopherson,Bob Christopherson,8641,Aleksey Kiselyov,Aleksey Kiselyov,8505,Decision,Decision,,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/23590,https://www.olympedia.org/results/23609,23590.html
olympedia-23477,23459,23477,1964 Summer Olympics,16,1964,Tokyo,"Korakuen Horu, Bunkyo, Tokyo",Boxing,"Light-Welterweight, Men",Men,individual,Round Three,,Round Three,Round 3,18 Oct,Charley Ellis,Charley Ellis,8660,Yevgeny Frolov,Yevgeny Frolov,8492,Decision,Decision,,,,URS,URS_WIN,first_competitor_result,True,https://www.olympedia.org/results/23459,https://www.olympedia.org/results/23477,23459.html
olympedia-90693,90541,90693,1964 Summer Olympics,16,1964,Tokyo,"Memorial Hall, Waseda Daigaku, Shinjuku, Tokyo",Fencing,"Foil, Individual, Men",Men,individual,Round One,Pool #1,Round One / Pool #1,Round 1 / Pool 1,13 Oct,Herb Cohen,Herb Cohen,23681,German Sveshnikov,German Sveshnikov,23609,5 – 2,5 – 2,2 – 5,2,5,URS,URS_WIN,numeric_score,True,https://www.olympedia.org/results/90541,https://www.olympedia.org/results/90693,90541.html
olympedia-90830,90541,90830,1964 Summer Olympics,16,1964,Tokyo,"Memorial Hall, Waseda Daigaku, Shinjuku, Tokyo",Fencing,"Foil, Individual, Men",Men,individual,Round One,Pool #9,Round One / Pool #9,Round 1 / Pool 9,13 Oct,Albie Axelrod,Albie Axelrod,23652,Viktor Zhdanovich,Viktor Zhdanovich,23604,5 – 2,5 – 2,5 – 2,5,2,USA,USA_WIN,numeric_score,True,https://www.olympedia.org/results/90541,https://www.olympedia.org/results/90830,90541.html
olympedia-93012,92978,93012,1964 Summer Olympics,16,1964,Tokyo,"Memorial Hall, Waseda Daigaku, Shinjuku, Tokyo",Fencing,"Foil, Individual, Women",Women,individual,Quarter-Finals,Pool #1,Quarter-Finals / Pool #1,Quarter-final,14 Oct,Harriet King,Harriet King,21004,Valentina Prudskova,Valentina Prudskova,20972,4 – 1,4 – 1,4 – 1,4,1,USA,USA_WIN,numeric_score,True,https://www.olympedia.org/results/92978,https://www.olympedia.org/results/93012,92978.html
