Year,City,NOC,Country,GoldMedals,SilverMedals,BronzeMedals,TotalMedals,ParticipationStatus,BoycottBy
1988,Seoul,MEX,Mexico,0.0,0.0,2.0,2.0,participated,
1988,Seoul,MGL,Mongolia,0.0,0.0,1.0,1.0,participated,
1988,Seoul,NED,Netherlands,2.0,2.0,5.0,9.0,participated,
1988,Seoul,NOR,Norway,2.0,3.0,0.0,5.0,participated,
1988,Seoul,NZL,New Zealand,3.0,2.0,8.0,13.0,participated,
1988,Seoul,PAK,Pakistan,0.0,0.0,1.0,1.0,participated,
1988,Seoul,PER,Peru,0.0,1.0,0.0,1.0,participated,
1988,Seoul,PHI,Philippines,0.0,0.0,1.0,1.0,participated,
1988,Seoul,POL,Poland,2.0,5.0,9.0,16.0,participated,
1988,Seoul,POR,Portugal,1.0,0.0,0.0,1.0,participated,
1988,Seoul,ROU,Romania,7.0,11.0,6.0,24.0,participated,
1988,Seoul,SEN,Senegal,0.0,1.0,0.0,1.0,participated,
1988,Seoul,SUI,Switzerland,0.0,2.0,2.0,4.0,participated,
1988,Seoul,SUR,Suriname,1.0,0.0,0.0,1.0,participated,
1988,Seoul,SWE,Sweden,0.0,4.0,7.0,11.0,participated,
1988,Seoul,TCH,Czechoslovakia,3.0,3.0,2.0,8.0,participated,
1988,Seoul,THA,Thailand,0.0,0.0,1.0,1.0,participated,
1988,Seoul,TUR,Turkey,1.0,1.0,0.0,2.0,participated,
1988,Seoul,URS,Soviet Union,54.0,31.0,46.0,131.0,participated,
1988,Seoul,USA,United States,36.0,31.0,27.0,94.0,participated,
1988,Seoul,YUG,Yugoslavia,3.0,4.0,5.0,12.0,participated,
