EncounterId,Year,City,Sport,Event,EncounterType,USAParticipant,USSRParticipant,Winner,StageRaw,StageNormalized,ScoreRaw,USAScore,USSRScore,SourceName,SourceUrl,MatchSourceUrl,OlympediaResultId,OlympediaMatchId
olympedia-22949,1956,Melbourne,Boxing,"Light-Heavyweight, Men",individual,Jim Boyd,Romualdas Murauskas,USA,Semi-Finals,Semi-final,Decision,,,Olympedia,https://www.olympedia.org/results/22945,https://www.olympedia.org/results/22949,22945,22949
olympedia-922072,1956,Melbourne,Fencing,"Foil, Individual, Men",individual,Albie Axelrod,Mark Midler,USSR,Semi-Finals / Pool #1,Semi-final,5 – 2,2.0,5.0,Olympedia,https://www.olympedia.org/results/86748,https://www.olympedia.org/results/922072,86748,922072
olympedia-922073,1956,Melbourne,Fencing,"Foil, Individual, Men",individual,Albie Axelrod,Yury Rudov,USSR,Semi-Finals / Pool #1,Semi-final,5 – 4,4.0,5.0,Olympedia,https://www.olympedia.org/results/86748,https://www.olympedia.org/results/922073,86748,922073
olympedia-922116,1956,Melbourne,Fencing,"Foil, Individual, Men",individual,Hal Goldsmith,Yury Rudov,USSR,Round One / Pool #1,Round 1 / Pool 1,5 – 2,2.0,5.0,Olympedia,https://www.olympedia.org/results/86748,https://www.olympedia.org/results/922116,86748,922116
olympedia-922138,1956,Melbourne,Fencing,"Foil, Individual, Men",individual,Albie Axelrod,Iuri Osip'ovi,USSR,Round One / Pool #2,Round 1 / Pool 2,5 – 3,3.0,5.0,Olympedia,https://www.olympedia.org/results/86748,https://www.olympedia.org/results/922138,86748,922138
olympedia-922529,1956,Melbourne,Fencing,"Foil, Individual, Women",individual,Maxine Mitchell,Emma Yefimova,USSR,Semi-Finals / Pool #1,Semi-final,4 – 0,0.0,4.0,Olympedia,https://www.olympedia.org/results/86883,https://www.olympedia.org/results/922529,86883,922529
olympedia-922546,1956,Melbourne,Fencing,"Foil, Individual, Women",individual,Maxine Mitchell,Emma Yefimova,USSR,Round One / Pool #1,Round 1 / Pool 1,4 – 1,1.0,4.0,Olympedia,https://www.olympedia.org/results/86883,https://www.olympedia.org/results/922546,86883,922546
olympedia-922577,1956,Melbourne,Fencing,"Foil, Individual, Women",individual,Jan Romary,Nadezhda Shitikova,USA,Round One / Pool #2,Round 1 / Pool 2,4 – 2,4.0,2.0,Olympedia,https://www.olympedia.org/results/86883,https://www.olympedia.org/results/922577,86883,922577
olympedia-922609,1956,Melbourne,Fencing,"Foil, Individual, Women",individual,Judy Goodrich,Valentina Rastvorova,USSR,Round One / Pool #3,Round 1 / Pool 3,4 – 1,1.0,4.0,Olympedia,https://www.olympedia.org/results/86883,https://www.olympedia.org/results/922609,86883,922609
olympedia-86793,1956,Melbourne,Fencing,"Sabre, Individual, Men",individual,George Worth,Lev Kuznetsov,DRAW,"Quarter-Finals / Pool #4, Barrage 3-5",Quarter-final,1 – 1,1.0,1.0,Olympedia,https://www.olympedia.org/results/86781,https://www.olympedia.org/results/86793,86781,86793
olympedia-922349,1956,Melbourne,Fencing,"Épée, Individual, Men",individual,Kin Hoitsma,Arnold Chernushevich,USA,Quarter-Finals / Pool #2,Quarter-final,5 – 3,5.0,3.0,Olympedia,https://www.olympedia.org/results/86762,https://www.olympedia.org/results/922349,86762,922349
olympedia-922400,1956,Melbourne,Fencing,"Épée, Individual, Men",individual,Skip Shurtz,Arnold Chernushevich,USSR,Round One / Pool #1,Round 1 / Pool 1,5 – 3,3.0,5.0,Olympedia,https://www.olympedia.org/results/86762,https://www.olympedia.org/results/922400,86762,922400
olympedia-922474,1956,Melbourne,Fencing,"Épée, Individual, Men",individual,Kin Hoitsma,Juozas Udras,USA,Round One / Pool #4,Round 1 / Pool 4,5 – 3,5.0,3.0,Olympedia,https://www.olympedia.org/results/86762,https://www.olympedia.org/results/922474,86762,922474
olympedia-38313,1956,Melbourne,Water Polo,"Water Polo, Men",team,United States,Soviet Union,USSR,Final Round,Final,3 – 1,1.0,3.0,Olympedia,https://www.olympedia.org/results/38305,https://www.olympedia.org/results/38313,38305,38313
olympedia-123768,1956,Melbourne,Wrestling,"Flyweight, Freestyle, Men",individual,Dick Delgado,Mirian Tsalkalamanidze,USSR,Round One,Round 1,Decision (3-0),,,Olympedia,https://www.olympedia.org/results/123743,https://www.olympedia.org/results/123768,123743,123768
olympedia-123939,1956,Melbourne,Wrestling,"Light-Heavyweight, Freestyle, Men",individual,Pete Blair,Boris Kulayev,USSR,Round Six,Round Six,Decision (3-0),,,Olympedia,https://www.olympedia.org/results/123936,https://www.olympedia.org/results/123939,123936,123939
olympedia-123902,1956,Melbourne,Wrestling,"Middleweight, Freestyle, Men",individual,Dan Hodge,Giorgi Skhirt'ladze,USA,Final Round,Final,Fall (11:00),,,Olympedia,https://www.olympedia.org/results/123901,https://www.olympedia.org/results/123902,123901,123902
olympedia-32134,1960,Rome,Basketball,"Basketball, Men",team,United States,Soviet Union,USA,Group B,Group B,81 – 57,81.0,57.0,Olympedia,https://www.olympedia.org/results/32115,https://www.olympedia.org/results/32134,32115,32134
olympedia-23086,1960,Rome,Boxing,"Featherweight, Men",individual,Nick Spanakos,Boris Nikonorov,USSR,Round One,Round 1,Decision,,,Olympedia,https://www.olympedia.org/results/23053,https://www.olympedia.org/results/23086,23053,23086
olympedia-23273,1960,Rome,Boxing,"Light-Heavyweight, Men",individual,Cassius Clay,Gennady Shatkov,USA,Quarter-Finals,Quarter-final,Decision,,,Olympedia,https://www.olympedia.org/results/23266,https://www.olympedia.org/results/23273,23266,23273
olympedia-23212,1960,Rome,Boxing,"Light-Middleweight, Men",individual,Wilbert McClure,Boris Lagutin,USA,Semi-Finals,Semi-final,Decision,,,Olympedia,https://www.olympedia.org/results/23208,https://www.olympedia.org/results/23212,23208,23212
olympedia-86898,1960,Rome,Fencing,"Foil, Individual, Men",individual,Albie Axelrod,Viktor Zhdanovich,USSR,Final Pool,Final pool,5 – 2,2.0,5.0,Olympedia,https://www.olympedia.org/results/86895,https://www.olympedia.org/results/86898,86895,86898
olympedia-86904,1960,Rome,Fencing,"Foil, Individual, Men",individual,Albie Axelrod,Yury Sisikin,USSR,Final Pool,Final pool,5 – 2,2.0,5.0,Olympedia,https://www.olympedia.org/results/86895,https://www.olympedia.org/results/86904,86895,86904
olympedia-86910,1960,Rome,Fencing,"Foil, Individual, Men",individual,Albie Axelrod,Mark Midler,USA,Final Pool,Final pool,5 – 2,5.0,2.0,Olympedia,https://www.olympedia.org/results/86895,https://www.olympedia.org/results/86910,86895,86910
olympedia-86937,1960,Rome,Fencing,"Foil, Individual, Men",individual,Albie Axelrod,Viktor Zhdanovich,USSR,Semi-Finals / Pool #1,Semi-final,5 – 3,3.0,5.0,Olympedia,https://www.olympedia.org/results/86895,https://www.olympedia.org/results/86937,86895,86937
olympedia-86992,1960,Rome,Fencing,"Foil, Individual, Men",individual,Gene Glazer,Mark Midler,USSR,Quarter-Finals / Pool #2,Quarter-final,5 – 1,1.0,5.0,Olympedia,https://www.olympedia.org/results/86895,https://www.olympedia.org/results/86992,86895,86992
olympedia-87083,1960,Rome,Fencing,"Foil, Individual, Men",individual,"Joseph Paletta, Jr.",Viktor Zhdanovich,USSR,Round Two / Pool #3,Round 2 / Pool 3,5 – 0,0.0,5.0,Olympedia,https://www.olympedia.org/results/86895,https://www.olympedia.org/results/87083,86895,87083
olympedia-87156,1960,Rome,Fencing,"Foil, Individual, Men",individual,"Joseph Paletta, Jr.",Mark Midler,USA,Round One / Pool #1,Round 1 / Pool 1,5 – 4,5.0,4.0,Olympedia,https://www.olympedia.org/results/86895,https://www.olympedia.org/results/87156,86895,87156
olympedia-90092,1960,Rome,Fencing,"Foil, Individual, Women",individual,Evelyn Terhune,Valentina Rastvorova,USSR,Round One / Pool #5,Round 1 / Pool 5,4 – 2,2.0,4.0,Olympedia,https://www.olympedia.org/results/89864,https://www.olympedia.org/results/90092,89864,90092
olympedia-90161,1960,Rome,Fencing,"Foil, Individual, Women",individual,Harriet King,Aleksandra Zabelina,USSR,Round One / Pool #9,Round 1 / Pool 9,4 – 1,1.0,4.0,Olympedia,https://www.olympedia.org/results/89864,https://www.olympedia.org/results/90161,89864,90161
olympedia-87965,1960,Rome,Fencing,"Sabre, Individual, Men",individual,Allan Kwartler,David Tyshler,USSR,Quarter-Finals / Pool #1,Quarter-final,5 – 0,0.0,5.0,Olympedia,https://www.olympedia.org/results/87876,https://www.olympedia.org/results/87965,87876,87965
olympedia-87973,1960,Rome,Fencing,"Sabre, Individual, Men",individual,Alfonso Morales,Yakov Rylsky,USSR,Quarter-Finals / Pool #2,Quarter-final,5 – 2,2.0,5.0,Olympedia,https://www.olympedia.org/results/87876,https://www.olympedia.org/results/87973,87876,87973
olympedia-88103,1960,Rome,Fencing,"Sabre, Individual, Men",individual,Allan Kwartler,David Tyshler,USSR,Round Two / Pool #6,Round 2 / Pool 6,5 – 1,1.0,5.0,Olympedia,https://www.olympedia.org/results/87876,https://www.olympedia.org/results/88103,87876,88103
olympedia-124257,1960,Rome,Wrestling,"Bantamweight, Freestyle, Men",individual,Terry McCann,Mikhail Shakhov,USA,Round Five,Round Five,Fall (0:48),,,Olympedia,https://www.olympedia.org/results/124250,https://www.olympedia.org/results/124257,124250,124257
olympedia-124220,1960,Rome,Wrestling,"Flyweight, Freestyle, Men",individual,Gray Simons,Ali Aliyev,USA,Round Four,Round 4,Decision,,,Olympedia,https://www.olympedia.org/results/124208,https://www.olympedia.org/results/124220,124208,124220
olympedia-124588,1960,Rome,Wrestling,"Flyweight, Greco-Roman, Men",individual,Dick Wilson,Ivan Kochergin,DRAW,Round Two,Round 2,Draw,,,Olympedia,https://www.olympedia.org/results/124567,https://www.olympedia.org/results/124588,124567,124588
olympedia-124491,1960,Rome,Wrestling,"Light-Heavyweight, Freestyle, Men",individual,Dan Brand,Anatoly Albul,USSR,Round Five,Round Five,Decision,,,Olympedia,https://www.olympedia.org/results/124486,https://www.olympedia.org/results/124491,124486,124491
olympedia-124904,1960,Rome,Wrestling,"Light-Heavyweight, Greco-Roman, Men",individual,Howard George,Givi K'art'ozia,USSR,Round One,Round 1,Decision,,,Olympedia,https://www.olympedia.org/results/124873,https://www.olympedia.org/results/124904,124873,124904
olympedia-124360,1960,Rome,Wrestling,"Lightweight, Freestyle, Men",individual,Shelby Wilson,Vladimir Sinyavsky,USA,Round Four,Round 4,Decision,,,Olympedia,https://www.olympedia.org/results/124345,https://www.olympedia.org/results/124360,124345,124360
olympedia-124739,1960,Rome,Wrestling,"Lightweight, Greco-Roman, Men",individual,Ben Northrup,Avtandil Koridze,USSR,Round Two,Round 2,Decision,,,Olympedia,https://www.olympedia.org/results/124713,https://www.olympedia.org/results/124739,124713,124739
olympedia-124463,1960,Rome,Wrestling,"Middleweight, Freestyle, Men",individual,Ed DeWitt,Giorgi Skhirt'ladze,USA,Round Three,Round 3,Decision,,,Olympedia,https://www.olympedia.org/results/124446,https://www.olympedia.org/results/124463,124446,124463
olympedia-32189,1964,Tokyo,Basketball,"Basketball, Men",team,United States,Soviet Union,USA,Final Round,Final,73 – 59,73.0,59.0,Olympedia,https://www.olympedia.org/results/32187,https://www.olympedia.org/results/32189,32187,32189
olympedia-23619,1964,Tokyo,Boxing,"Heavyweight, Men",individual,Joe Frazier,Vadim Yemelyanov,USA,Semi-Finals,Semi-final,Referee stops contest,,,Olympedia,https://www.olympedia.org/results/23614,https://www.olympedia.org/results/23619,23614,23619
olympedia-23609,1964,Tokyo,Boxing,"Light-Heavyweight, Men",individual,Bob Christopherson,Aleksey Kiselyov,USSR,Round Two,Round 2,Decision,,,Olympedia,https://www.olympedia.org/results/23590,https://www.olympedia.org/results/23609,23590,23609
olympedia-23477,1964,Tokyo,Boxing,"Light-Welterweight, Men",individual,Charley Ellis,Yevgeny Frolov,USSR,Round Three,Round 3,Decision,,,Olympedia,https://www.olympedia.org/results/23459,https://www.olympedia.org/results/23477,23459,23477
olympedia-90693,1964,Tokyo,Fencing,"Foil, Individual, Men",individual,Herb Cohen,German Sveshnikov,USSR,Round One / Pool #1,Round 1 / Pool 1,5 – 2,2.0,5.0,Olympedia,https://www.olympedia.org/results/90541,https://www.olympedia.org/results/90693,90541,90693
olympedia-90830,1964,Tokyo,Fencing,"Foil, Individual, Men",individual,Albie Axelrod,Viktor Zhdanovich,USA,Round One / Pool #9,Round 1 / Pool 9,5 – 2,5.0,2.0,Olympedia,https://www.olympedia.org/results/90541,https://www.olympedia.org/results/90830,90541,90830
olympedia-93012,1964,Tokyo,Fencing,"Foil, Individual, Women",individual,Harriet King,Valentina Prudskova,USA,Quarter-Finals / Pool #1,Quarter-final,4 – 1,4.0,1.0,Olympedia,https://www.olympedia.org/results/92978,https://www.olympedia.org/results/93012,92978,93012
olympedia-93159,1964,Tokyo,Fencing,"Foil, Individual, Women",individual,Jan Romary,Galina Gorokhova,USA,Round One / Pool #4,Round 1 / Pool 4,4 – 3,4.0,3.0,Olympedia,https://www.olympedia.org/results/92978,https://www.olympedia.org/results/93159,92978,93159
olympedia-91294,1964,Tokyo,Fencing,"Sabre, Individual, Men",individual,Attila Keresztes,Yakov Rylsky,USSR,Quarter-Finals / Pool #1,Quarter-final,5 – 1,1.0,5.0,Olympedia,https://www.olympedia.org/results/91259,https://www.olympedia.org/results/91294,91259,91294
olympedia-91352,1964,Tokyo,Fencing,"Sabre, Individual, Men",individual,Tom Orley,Mark Rakita,USSR,Quarter-Finals / Pool #3,Quarter-final,5 – 3,3.0,5.0,Olympedia,https://www.olympedia.org/results/91259,https://www.olympedia.org/results/91352,91259,91352
olympedia-90924,1964,Tokyo,Fencing,"Épée, Individual, Men",individual,David Micahnik,Grigory Kriss,USA,Quarter-Finals / Pool #2,Quarter-final,5 – 2,5.0,2.0,Olympedia,https://www.olympedia.org/results/90845,https://www.olympedia.org/results/90924,90845,90924
olympedia-15104,1964,Tokyo,Judo,"Heavyweight, Men",individual,George Harris,Parnaoz Chik'viladze,USSR,Pool B,Pool,Waza-ari,,,Olympedia,https://www.olympedia.org/results/15091,https://www.olympedia.org/results/15104,15091,15104
olympedia-37036,1964,Tokyo,Volleyball,"Volleyball, Men",team,United States,Soviet Union,USSR,Round-Robin,Round-Robin,"15-6, 15-5, 15-4",0.0,3.0,Olympedia,https://www.olympedia.org/results/37000,https://www.olympedia.org/results/37036,37000,37036
olympedia-37059,1964,Tokyo,Volleyball,"Volleyball, Women",team,United States,Soviet Union,USSR,Round-Robin,Round-Robin,"15-1, 15-8, 15-7",0.0,3.0,Olympedia,https://www.olympedia.org/results/37048,https://www.olympedia.org/results/37059,37048,37059
olympedia-125038,1964,Tokyo,Wrestling,"Featherweight, Freestyle, Men",individual,Bobby Douglas,Nodar Khokhashvili,USSR,Round Four,Round 4,Decision,,,Olympedia,https://www.olympedia.org/results/125026,https://www.olympedia.org/results/125038,125026,125038
olympedia-124964,1964,Tokyo,Wrestling,"Flyweight, Freestyle, Men",individual,Gray Simons,Ali Aliyev,DRAW,Round Two,Round 2,Draw,,,Olympedia,https://www.olympedia.org/results/124937,https://www.olympedia.org/results/124964,124937,124964
olympedia-125253,1964,Tokyo,Wrestling,"Heavyweight, Freestyle, Men",individual,Larry Kristoff,Aleksandr Ivanitsky,USSR,Round Two,Round 2,Decision,,,Olympedia,https://www.olympedia.org/results/125234,https://www.olympedia.org/results/125253,125234,125253
olympedia-125492,1964,Tokyo,Wrestling,"Middleweight, Greco-Roman, Men",individual,Wayne Baughman,Valentin Olenik,USSR,Round Four,Round 4,Decision,,,Olympedia,https://www.olympedia.org/results/125485,https://www.olympedia.org/results/125492,125485,125492
olympedia-23983,1968,Mexico City,Boxing,"Heavyweight, Men",individual,George Foreman,Jonas Čepulis,USA,Final Round,Final,Referee stops contest,,,Olympedia,https://www.olympedia.org/results/23981,https://www.olympedia.org/results/23983,23981,23983
olympedia-93679,1968,Mexico City,Fencing,"Foil, Individual, Men",individual,Herb Cohen,Viktor Putyatin,USSR,Round Two / Pool #8,Round 2 / Pool 8,beat,,,Olympedia,https://www.olympedia.org/results/93474,https://www.olympedia.org/results/93679,93474,93679
olympedia-96178,1968,Mexico City,Fencing,"Foil, Individual, Women",individual,Jan Romary,Aleksandra Zabelina,USA,Round Two / Pool #1,Round 2 / Pool 1,beat,,,Olympedia,https://www.olympedia.org/results/96118,https://www.olympedia.org/results/96178,96118,96178
olympedia-96194,1968,Mexico City,Fencing,"Foil, Individual, Women",individual,Harriet King,Galina Gorokhova,USA,Round Two / Pool #2,Round 2 / Pool 2,beat,,,Olympedia,https://www.olympedia.org/results/96118,https://www.olympedia.org/results/96194,96118,96194
olympedia-96231,1968,Mexico City,Fencing,"Foil, Individual, Women",individual,Jan Romary,Aleksandra Zabelina,USSR,Round One / Pool #1,Round 1 / Pool 1,beat,,,Olympedia,https://www.olympedia.org/results/96118,https://www.olympedia.org/results/96231,96118,96231
olympedia-94279,1968,Mexico City,Fencing,"Sabre, Individual, Men",individual,Alfonso Morales,Vladimir Nazlymov,USSR,Round Two,Round 2,2 – 0,0.0,2.0,Olympedia,https://www.olympedia.org/results/94245,https://www.olympedia.org/results/94279,94245,94279
olympedia-94329,1968,Mexico City,Fencing,"Sabre, Individual, Men",individual,Jack Keane,Vladimir Nazlymov,USSR,Round Two / Pool #3,Round 2 / Pool 3,beat,,,Olympedia,https://www.olympedia.org/results/94245,https://www.olympedia.org/results/94329,94245,94329
olympedia-94346,1968,Mexico City,Fencing,"Sabre, Individual, Men",individual,Alfonso Morales,Umyar Mavlikhanov,USA,Round Two / Pool #4,Round 2 / Pool 4,beat,,,Olympedia,https://www.olympedia.org/results/94245,https://www.olympedia.org/results/94346,94245,94346
olympedia-94420,1968,Mexico City,Fencing,"Sabre, Individual, Men",individual,Alex Orban,Mark Rakita,USSR,Round One / Pool #4,Round 1 / Pool 4,beat,,,Olympedia,https://www.olympedia.org/results/94245,https://www.olympedia.org/results/94420,94245,94420
olympedia-94443,1968,Mexico City,Fencing,"Sabre, Individual, Men",individual,Jack Keane,Vladimir Nazlymov,USSR,Round One / Pool #5,Round 1 / Pool 5,beat,,,Olympedia,https://www.olympedia.org/results/94245,https://www.olympedia.org/results/94443,94245,94443
olympedia-94038,1968,Mexico City,Fencing,"Épée, Individual, Men",individual,Paul Pesthy,Grigory Kriss,USSR,Round Two / Pool #8,Round 2 / Pool 8,beat,,,Olympedia,https://www.olympedia.org/results/93838,https://www.olympedia.org/results/94038,93838,94038
olympedia-94077,1968,Mexico City,Fencing,"Épée, Individual, Men",individual,David Micahnik,Grigory Kriss,USSR,Round One / Pool #2,Round 1 / Pool 2,beat,,,Olympedia,https://www.olympedia.org/results/93838,https://www.olympedia.org/results/94077,93838,94077
olympedia-900185,1968,Mexico City,Tennis,"Singles, Men",individual,Jim McManus,Anatoly Volkov,USA,Round One,Round 1,"6-2, 2-6, 3-6, 6-4, 7-5",3.0,2.0,Olympedia,https://www.olympedia.org/results/900151,https://www.olympedia.org/results/900185,900151,900185
olympedia-900269,1968,Mexico City,Tennis,"Singles, Men",individual,Herb Fitzgibbon,Vladimir Korotkov,USSR,Round Two,Round 2,"6-4, 6-3",0.0,2.0,Olympedia,https://www.olympedia.org/results/900254,https://www.olympedia.org/results/900269,900254,900269
olympedia-900290,1968,Mexico City,Tennis,"Singles, Women",individual,Jane Bartkowicz,Zaiga Jansone,USA,Quarter-Finals,Quarter-final,"6-3, 7-5",2.0,0.0,Olympedia,https://www.olympedia.org/results/900283,https://www.olympedia.org/results/900290,900283,900290
olympedia-37072,1968,Mexico City,Volleyball,"Volleyball, Men",team,United States,Soviet Union,USA,Round-Robin,Round-Robin,"11-15, 15-10, 10-15, 15-10, 15-6",3.0,2.0,Olympedia,https://www.olympedia.org/results/37066,https://www.olympedia.org/results/37072,37066,37072
olympedia-37134,1968,Mexico City,Volleyball,"Volleyball, Women",team,United States,Soviet Union,USSR,Round-Robin,Round-Robin,"15-1, 6-15, 15-4, 15-6",1.0,3.0,Olympedia,https://www.olympedia.org/results/37114,https://www.olympedia.org/results/37134,37114,37134
olympedia-38466,1968,Mexico City,Water Polo,"Water Polo, Men",team,United States,Soviet Union,USSR,Group A,Group A,8 – 3,3.0,8.0,Olympedia,https://www.olympedia.org/results/38432,https://www.olympedia.org/results/38466,38432,38466
olympedia-125652,1968,Mexico City,Wrestling,"Bantamweight, Freestyle, Men",individual,Don Behm,Ali Aliyev,USA,Final Round,Final,Decision,,,Olympedia,https://www.olympedia.org/results/125649,https://www.olympedia.org/results/125652,125649,125652
olympedia-126110,1968,Mexico City,Wrestling,"Featherweight, Greco-Roman, Men",individual,Jim Hazewinkel,Roman Rurua,USSR,Round Two,Round 2,Fall (6:23),,,Olympedia,https://www.olympedia.org/results/126080,https://www.olympedia.org/results/126110,126080,126110
olympedia-126024,1968,Mexico City,Wrestling,"Flyweight, Greco-Roman, Men",individual,Rich Tamble,Vladimir Bakulin,USSR,Round One,Round 1,Decision,,,Olympedia,https://www.olympedia.org/results/125976,https://www.olympedia.org/results/126024,125976,126024
olympedia-125952,1968,Mexico City,Wrestling,"Heavyweight, Freestyle, Men",individual,Larry Kristoff,Aliaksandr Miadved,USSR,Round Four,Round 4,Disqualification,,,Olympedia,https://www.olympedia.org/results/125943,https://www.olympedia.org/results/125952,125943,125952
olympedia-126323,1968,Mexico City,Wrestling,"Heavyweight, Greco-Roman, Men",individual,Bob Roop,Anatoly Roshchin,USSR,Round Three,Round 3,Fall (2:48),,,Olympedia,https://www.olympedia.org/results/126308,https://www.olympedia.org/results/126323,126308,126323
olympedia-125803,1968,Mexico City,Wrestling,"Lightweight, Freestyle, Men",individual,Wayne Wells,Zarbeg Beriashvili,DRAW,Round One,Round 1,Draw,,,Olympedia,https://www.olympedia.org/results/125753,https://www.olympedia.org/results/125803,125753,125803
olympedia-126236,1968,Mexico City,Wrestling,"Middleweight, Greco-Roman, Men",individual,Wayne Baughman,Valentin Olenik,USSR,Round Five,Round Five,Fall (10:08),,,Olympedia,https://www.olympedia.org/results/126229,https://www.olympedia.org/results/126236,126229,126236
olympedia-32351,1972,Munich,Basketball,"Basketball, Men",team,United States,Soviet Union,USSR,Final Round,Final,51 – 50,50.0,51.0,Olympedia,https://www.olympedia.org/results/32349,https://www.olympedia.org/results/32351,32349,32351
olympedia-24090,1972,Munich,Boxing,"Bantamweight, Men",individual,Ricardo Carreras,Vasily Solomin,USA,Quarter-Finals,Quarter-final,Decision,,,Olympedia,https://www.olympedia.org/results/24081,https://www.olympedia.org/results/24090,24081,24090
olympedia-24413,1972,Munich,Boxing,"Heavyweight, Men",individual,Duane Bobick,Yury Nesterov,USA,Round One,Round 1,Decision,,,Olympedia,https://www.olympedia.org/results/24400,https://www.olympedia.org/results/24413,24400,24413
olympedia-24323,1972,Munich,Boxing,"Light-Middleweight, Men",individual,Reggie Jones,Valery Tregubov,USSR,Round Two,Round 2,Decision,,,Olympedia,https://www.olympedia.org/results/24299,https://www.olympedia.org/results/24323,24299,24323
olympedia-24345,1972,Munich,Boxing,"Middleweight, Men",individual,Marvin Johnson,Vyacheslav Lemeshev,USSR,Semi-Finals,Semi-final,Referee stops contest,,,Olympedia,https://www.olympedia.org/results/24340,https://www.olympedia.org/results/24345,24340,24345
olympedia-24266,1972,Munich,Boxing,"Welterweight, Men",individual,Jesse Valdez,Anatoly Khokhlov,USA,Quarter-Finals,Quarter-final,Decision,,,Olympedia,https://www.olympedia.org/results/24256,https://www.olympedia.org/results/24266,24256,24266
olympedia-96852,1972,Munich,Fencing,"Foil, Individual, Men",individual,Bert Freeman,Vasily Stankovich,USSR,Round Two / Pool #6,Round 2 / Pool 6,5 – 3,3.0,5.0,Olympedia,https://www.olympedia.org/results/96653,https://www.olympedia.org/results/96852,96653,96852
olympedia-96890,1972,Munich,Fencing,"Foil, Individual, Men",individual,John Nonna,Vladimir Denisov,USSR,Round One / Pool #2,Round 1 / Pool 2,5 – 4,4.0,5.0,Olympedia,https://www.olympedia.org/results/96653,https://www.olympedia.org/results/96890,96653,96890
olympedia-96981,1972,Munich,Fencing,"Foil, Individual, Men",individual,Bert Freeman,Anatoly Koteshev,USA,Round One / Pool #7,Round 1 / Pool 7,5 – 3,5.0,3.0,Olympedia,https://www.olympedia.org/results/96653,https://www.olympedia.org/results/96981,96653,96981
olympedia-99533,1972,Munich,Fencing,"Foil, Individual, Women",individual,Harriet King,Aleksandra Zabelina,USSR,Round One / Pool #1,Round 1 / Pool 1,4 – 1,1.0,4.0,Olympedia,https://www.olympedia.org/results/99414,https://www.olympedia.org/results/99533,99414,99533
olympedia-97496,1972,Munich,Fencing,"Sabre, Individual, Men",individual,Paul Apostol,Viktor Sidyak,USSR,Semi-Finals / Pool #2,Semi-final,5 – 3,3.0,5.0,Olympedia,https://www.olympedia.org/results/97460,https://www.olympedia.org/results/97496,97460,97496
